ID,name,province,municipality,altitude,gradient,distance,mountain_slope,technical_difficulty,url,peak_coords,photo,peak_coords_MDB
716,El Soplao,Cantabria,Rábago,624,430,6.9,6.3,94,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0285,"(43.2964834,-4.4101268)",,"[-4.4101268,43.2964834]"
717,Ozeka,Álava,Llanteno-Erbi,517,335,6.8,4.9,93,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0941,"(43.0705574,-3.0902854)",,"[-3.0902854,43.0705574]"
719,El Navaliegu,Asturias,Ciaño (Langreo),472,248,2.2,11.0,93,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0548,"(43.1904832,-5.6151544)",,"[-5.6151544,43.1904832]"
722,San Pelaio,Bizkaia,"Bakio, por acantilados",302,282,3.6,7.8,93,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0948,"(43.433819,-2.7872246)",,"[-2.7872246,43.433819]"
724,Bidania,Gipuzkoa,Tolosa,520,402,5.4,7.4,92,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0108,"(43.1406008,-2.160723)",,"[-2.160723,43.1406008]"
726,La Casilla,Asturias,Blimea,635,366,4.4,8.3,92,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0395,"(43.5435432,-5.6646577)",,"[-5.6646577,43.5435432]"
728,Serratella,Castellón,Torre Endoménech,844,567,15.0,3.7,92,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0530,"(40.3127349,0.0311219)",,"[0.0311219,40.3127349]"
729,Collado De Los Yesos,Jaén,A310,1119,499,9.4,5.2,91,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1258,"(37.6515608,-3.456033)",,"[-3.456033,37.6515608]"
731,Aseginolaza,Gipuzkoa,Soraluze,528,432,6.3,6.7,91,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1642,"(42.9770349,-2.2896089)",,"[-2.2896089,42.9770349]"
732,Agiña,Navarra,Lesaka,549,475,8.0,5.9,90,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1738,"(43.2691752,-1.762148)",,"[-1.762148,43.2691752]"
737,Monte De Ancos,A Coruña,A Pone de Xubia,262,256,2.9,8.7,89,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1408,"(43.51421,-8.1415922)",,"[-8.1415922,43.51421]"
740,Culou,A Coruña,Noia,494,483,9.5,5.0,88,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0571,"(42.8029613,-8.8041016)",,"[-8.8041016,42.8029613]"
742,O Cristo De Portapena,Lugo,Bravos,513,449,7.8,5.7,88,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1353,"(43.6181111,-7.7036883)",,"[-7.7036883,43.6181111]"
747,A Áspera,A Coruña,Fragas del Eume,335,298,3.4,8.6,87,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1400,"(43.4025997,-8.104128)",,"[-8.104128,43.4025997]"
748,Pena Da Agrela,A Coruña,Pazos-Padrón,400,375,5.6,6.7,86,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0678,"(42.7862559,-8.6226825)",,"[-8.6226825,42.7862559]"
752,Collado De La Traviesa,Jaén,Norte,1386,394,8.5,4.6,86,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0747,"(38.0780917,-2.9066778)",,"[-2.9066778,38.0780917]"
754,Puerto Del Zamorano,Sevilla,Río Guadamanil,778,443,13.0,3.3,85,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0518,"(37.0072446,-5.176943)",,"[-5.176943,37.0072446]"
758,El Bellotar,Albacete,Villaverde de Guadalimar,1251,466,8.6,5.4,85,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0148,"(38.4721783,-2.5501464)",,"[-2.5501464,38.4721783]"
759,Santa Cecía,A Coruña,Os Ánxeles,497,448,8.1,5.5,85,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0624,"(42.8204915,-8.7009758)",,"[-8.7009758,42.8204915]"
764,Portela De Aldarís,A Coruña,Ponte Beluso,418,415,9.1,4.5,84,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0180,"(42.7471981,-8.7944478)",,"[-8.7944478,42.7471981]"
771,Altotero,Burgos,Poza de la Sal,1093,470,8.4,5.5,83,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1946,"(42.2778939,-3.6546802)",,"[-3.6546802,42.2778939]"
773,El Colladico,Castellón,Torrechiva,664,348,5.4,6.6,82,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1467,"(40.1370819,-0.3705758)",,"[-0.3705758,40.1370819]"
774,Villa De Ocón,La Rioja,Corera,892,371,6.1,6.0,82,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1241,"(42.3138014,-2.208679)",,"[-2.208679,42.3138014]"
776,Opakua,Álava,Opakua,1025,420,7.4,5.7,82,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0950,"(42.815048,-2.3318082)",,"[-2.3318082,42.815048]"
781,Lekamaña,Álava,Amurrio (P. Ind. Aldaiturriaga),479,229,2.1,10.0,81,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0920,"(43.0212813,-2.9961401)",,"[-2.9961401,43.0212813]"
782,Nabarniz,Bizkaia,Aulesti-Narea,365,273,4.0,6.0,81,https://www.altimetrias.net/aspbk/verPuerto.asp?id=001,"(43.3215488,-2.5844368)",,"[-2.5844368,43.3215488]"
785,A Capela,A Coruña,Central del Eume,400,330,4.3,7.6,80,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1544,"(43.4349893,-8.0718426)",,"[-8.0718426,43.4349893]"
787,Cresta Del Gallo,Murcia,Los Garres,430,379,5.5,6.8,80,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1176,"(37.9428585,-1.0876729)",,"[-1.0876729,37.9428585]"
788,Ermita De Sant Antoni,Alicante,Alcoi,912,287,3.2,8.9,79,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1181,"(38.67100285,-0.4768144688922988)",,"[-0.4768144688922988,38.67100285]"
789,Breamo,A Coruña,Perbes,300,293,4.2,6.9,79,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1927,"(43.4020114,-8.1814585)",,"[-8.1814585,43.4020114]"
791,Arrugaeta,Bizkaia,Jauregi (Orozko),440,247,2.8,8.8,79,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0927,"(43.1069696,-2.9112324)",,"[-2.9112324,43.1069696]"
792,Collado De Cieza,Cantabria,Los Corrales de Buelna,391,298,3.7,7.8,79,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1440,"(43.23976,-4.09676)",,"[-4.09676,43.23976]"
795,Sotavento,A Coruña,Ponte do Dez,665,324,6.6,4.8,78,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1906,"(43.5351273,-8.197082551130919)",,"[-8.197082551130919,43.5351273]"
798,Coll De La Bandereta,Castellón,CV-156 (Vall d'Alba),790,426,12.0,3.5,77,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1980,"(40.2760265,-0.0328274)",,"[-0.0328274,40.2760265]"
