ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords
4298,Viveiro,,Lugo,15391,109.337724,5.899423454628479,4,"[1243, 5588, 8493, 9479]",,"(43.66074911,-7.597307264)"
3166,Azpeitia,País Vasco,Gipuzkoa,15106,69.388776,4.6996895367447005,17,"[334, 1075, 1199, 1200, 1360, 2774, 2930, 3147, 7133, 7243, 7611, 7627, 8244, 8247, 8291, 8913, 8917]",,"(43.18563287,-2.26541334)"
3157,Andoain,País Vasco,Gipuzkoa,14691,27.170934000000003,2.940876856397081,17,"[2722, 2728, 3147, 3605, 4988, 7348, 7620, 7621, 7629, 7630, 7631, 7641, 7648, 7658, 7659, 8244, 8287]",,"(43.21980681,-2.01998488)"
3222,Bergara,País Vasco,Gipuzkoa,14659,75.94800000000001,4.916802081063918,24,"[311, 334, 1075, 1076, 1199, 1504, 1509, 2638, 2930, 3147, 3307, 3339, 3744, 3801, 7133, 7243, 7597, 8287, 8291, 8502, 8559, 8913, 8997, 9658]",,"(43.11714838,-2.41251041)"
5071,Villaviciosa,Asturias,Asturias,14470,276.227085,9.37686548793973,3,"[3378, 3502, 3940]",,"(43.48140933,-5.43480263)"
2804,Ogíjares,Andalucía,Granada,14348,6.9539,1.487780206022085,13,"[1520, 2455, 2784, 3434, 3467, 3499, 3501, 3747, 3927, 4006, 4127, 5257, 7028]",,"(37.11925921,-3.60924803)"
2189,Noia,Galicia,A Coruña,14274,37.208406,3.441478720410819,5,"[432, 1302, 1538, 1955, 4470]",,"(42.78519846,-8.887824814)"
3598,Torredelcampo,Andalucía,Jaén,14142,182.1634,7.614740673745441,4,"[3854, 8589, 8765, 8827]",,"(37.7704605,-3.89658883)"
7583,Sopela,País Vasco,Bizkaia,14120,8.4258,1.637684086539063,9,"[1521, 1572, 4629, 4934, 6933, 8365, 8445, 8604, 8724]",,"(43.38033648,-2.98329187)"
3167,Beasain,País Vasco,Gipuzkoa,13938,29.99125,3.0897393175097347,16,"[334, 757, 1199, 1360, 1362, 7133, 7243, 7620, 7621, 7641, 7658, 8247, 8287, 8576, 8913, 9856]",,"(43.04874902,-2.19706732)"
5029,Llanera,Asturias,Asturias,13695,106.690356,5.827565157148376,4,"[3381, 4485, 5310, 5325]",,"(43.44134929,-5.85167484)"
4910,O Barco de Valdeorras,Galicia,Ourense,13431,85.4292,5.214680751489411,3,"[1298, 5147, 5630]",,"(42.41644671,-6.984649378)"
4389,Moralzarzal,Comunidad de Madrid,Madrid,13334,42.556143,3.6804903692699376,3,"[4574, 5056, 7116]",,"(40.68131412,-3.97279774)"
