ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords,coords_MDB
5027,Lena,Asturias,Asturias,10701,315.86560000000003,10.027108659644606,18,"[265, 802, 825, 848, 923, 925, 2255, 2350, 3988, 4115, 4154, 4340, 4485, 5609, 5611, 5617, 5618, 7536]","[131, 1056, 1071, 51, 69, 689, 145, 463, 545, 719, 416, 0, 986, 884, 84, 430, 866, 1098, 1, 4, 438, 411]","(43.15927913,-5.82960591)","[-5.82960591,43.15927913]"
3606,Villacarrillo,Andalucía,Jaén,10673,239.5538,8.732248536440343,5,"[2117, 7569, 7959, 8495, 9522]","[636, 579, 551, 752, 810]","(38.10893521,-3.08623926)","[-3.08623926,38.10893521]"
190,Castalla,Comunitat Valenciana,Alicante,10461,114.599725,6.039713579275447,5,"[646, 650, 680, 3189, 8422]","[918, 601, 99, 788, 146, 667]","(38.59657643,-0.67026538)","[-0.67026538,38.59657643]"
1,Amurrio,País Vasco,Álava,10264,96.4953,5.542141836371005,15,"[877, 1280, 1525, 1613, 3251, 4263, 4374, 4489, 4981, 4982, 5599, 5904, 6244, 7603, 9685]","[320, 143, 264, 517, 174, 326, 353, 365, 791, 1042, 757, 983, 496, 505, 325, 461, 717, 556, 781, 1100, 306]","(43.05427776,-3.00007326)","[-3.00007326,43.05427776]"
2771,Íllora,Andalucía,Granada,10065,197.4424,7.927655448273748,10,"[1520, 3460, 3501, 3747, 4006, 4400, 4759, 4761, 5889, 6680]","[198, 258, 492, 826, 833, 970, 354, 912, 1049, 296, 308]","(37.28611488,-3.88172313)","[-3.88172313,37.28611488]"
5020,Grado,Asturias,Asturias,9703,216.71127,8.305490857284902,6,"[261, 923, 3422, 3987, 5916, 7536]","[60, 476, 0, 28, 78, 1071, 411]","(43.38929203,-6.06990452)","[-6.06990452,43.38929203]"
4300,Burela,Galicia,Lugo,9498,7.778994,1.573570749762227,3,"[1243, 8493, 8889]","[539, 418, 630]","(43.65912386,-7.357704019)","[-7.357704019,43.65912386]"
2208,Santa Comba,Galicia,A Coruña,9362,203.702339,8.05234852186591,4,"[353, 944, 1538, 1955]","[1013, 149, 537, 511, 1016]","(43.03653809,-8.820120408)","[-8.820120408,43.03653809]"
3465,Sabiñánigo,Aragón,Huesca,9185,586.817701,13.667093283539955,7,"[2650, 5867, 6441, 6454, 7065, 8331, 8355]","[221, 193, 283, 398, 642, 129, 195]","(42.51870902,-0.36403034)","[-0.36403034,42.51870902]"
4438,Soto del Real,Comunidad de Madrid,Madrid,8981,43.213762,3.708818612150707,6,"[92, 4574, 7116, 7128, 8384, 8592]","[148, 217, 157, 229, 309, 390, 947]","(40.75294194,-3.78826026)","[-3.78826026,40.75294194]"
5836,Reinosa,Cantabria,Cantabria,8946,4.0585,1.1365991607210388,7,"[460, 3219, 3409, 5792, 6267, 8113, 8665]","[111, 137, 389, 252, 1076, 62, 934, 955, 637]","(43.00105556,-4.137972222)","[-4.137972222,43.00105556]"
7594,Zalla,País Vasco,Bizkaia,8450,31.077800000000003,3.1452103027031755,16,"[1003, 1613, 1618, 2516, 3270, 4749, 4934, 5694, 6936, 6940, 8476, 8590, 9189, 9701, 9957, 10325]","[387, 928, 143, 264, 757, 983, 377, 381, 510, 54, 314, 58, 207, 619, 338, 371, 671, 927, 329, 342, 181, 368, 989, 267, 982, 801]","(43.2133741,-3.12995548)","[-3.12995548,43.2133741]"
3800,Villablino,Castilla y León,León,8444,228.2435,8.523613823679948,4,"[1560, 2603, 5402, 8168]","[28, 42, 90, 430, 104]","(42.93983987,-6.31699477)","[-6.31699477,42.93983987]"
7571,Ondarroa,País Vasco,Bizkaia,8395,4.2953,1.1692874996933558,13,"[311, 334, 1200, 2637, 3339, 4995, 7133, 7243, 7646, 8559, 8791, 8913, 8917]","[279, 295, 357, 373, 178, 257, 281, 290, 303, 328, 331, 341, 347, 353, 379, 382, 386, 394, 609, 616, 724, 732, 782, 812, 842, 856, 911, 917, 1000, 1039, 1048, 1059, 1065, 1096, 992, 12, 417, 1110, 1042, 645, 1003, 449, 699]","(43.32083031,-2.42042611)","[-2.42042611,43.32083031]"
2196,Padrón,Galicia,A Coruña,8366,48.374163,3.924020681862968,4,"[1157, 6291, 9322, 9347]","[102, 578, 890, 748, 764]","(42.73732717,-8.6604106)","[-8.6604106,42.73732717]"
